paper,year,x.value,high.low,africa.pct
1401,2014,65,l,7
1402,2014,10,l,5
1403,2014,65,h,68
1404,2014,10,h,15
1405,2014,10,h,7
1406,2014,65,l,35
1407,2014,10,h,15
1408,2014,10,h,20
1409,2014,65,l,20
1410,2014,10,l,9
1411,2014,10,l,25
1412,2014,65,l,10
1413,2014,65,l,20
1414,2014,10,h,3
1415,2014,10,l,4
1416,2014,65,l,29
1417,2014,10,h,35
1418,2014,10,l,7
1419,2014,10,l,5
1420,2014,65,l,70
1421,2014,65,l,33
1422,2014,10,h,15
1423,2014,10,l,5
1424,2014,65,l,30
1425,2014,65,l,40
1426,2014,65,l,40
1427,2014,65,l,10
1428,2014,65,l,35
1429,2014,10,l,25
1430,2014,65,l,25
1431,2014,10,h,25
1432,2014,65,l,1
1433,2014,10,l,8
1434,2014,65,l,30
1435,2014,65,l,17
1436,2014,10,h,20
1437,2014,65,l,20
1438,2014,10,l,8
1439,2014,65,l,26
1440,2014,10,h,12
1441,2014,10,h,15
1501,2015,65,l,36
1502,2015,65,l,15
1503,2015,10,h,15
1504,2015,65,l,40
1505,2015,65,l,40
1506,2015,10,h,30
1507,2015,10,h,65
1508,2015,65,l,25
1509,2015,65,l,30
1510,2015,10,h,15
1511,2015,10,h,20
1512,2015,65,l,37
1513,2015,10,h,15
1514,2015,65,h,95
1515,2015,10,h,15
1516,2015,65,l,12
1517,2015,65,h,80
1518,2015,65,l,50
1519,2015,10,l,8
1520,2015,65,l,20
1521,2015,10,h,16
1522,2015,10,l,8
1523,2015,65,l,18
1524,2015,10,h,13
1525,2015,10,h,20
1526,2015,65,l,18
1527,2015,10,h,30
1528,2015,65,l,20
1529,2015,10,h,50
1530,2015,10,h,25
1531,2015,65,l,15
1532,2015,10,l,9
1533,2015,10,h,18
1534,2015,65,l,35
1535,2015,65,l,40
1536,2015,10,h,17
1537,2015,65,l,20
1538,2015,65,l,45
1539,2015,10,h,15
1540,2015,65,l,25
1541,2015,10,h,70
1542,2015,10,h,15
1543,2015,65,h,80
1544,2015,65,h,28
1545,2015,10,l,8
1546,2015,10,h,15
1547,2015,10,h,15
1548,2015,65,l,35
1549,2015,65,l,25
1601,2016,65,l,30
1602,2016,10,h,20
1603,2016,10,h,30
1604,2016,10,l,8
1605,2016,65,l,5
1606,2016,10,h,20
1607,2016,65,l,25
1608,2016,65,l,45
1609,2016,10,h,60
1610,2016,65,l,20
1611,2016,10,h,13
1612,2016,65,l,33
1613,2016,10,h,24
1614,2016,10,h,20
1615,2016,10,h,40
1616,2016,65,l,45
1617,2016,10,h,60
1618,2016,10,l,7
1619,2016,10,h,33
1620,2016,65,l,10
1621,2016,10,h,20
1622,2016,10,l,6
1623,2016,65,l,25
1624,2016,10,h,15
1625,2016,10,h,30
1626,2016,65,l,20
1627,2016,65,l,60
1628,2016,65,l,10
1629,2016,65,l,30
1630,2016,65,l,40
1631,2016,10,l,8
1632,2016,10,h,12
1633,2016,65,l,10
1634,2016,10,h,16
1635,2016,10,h,30
1636,2016,10,l,15
1637,2016,10,h,15
1638,2016,10,h,15
1639,2016,65,l,20
1640,2016,10,h,15
1641,2016,65,h,68
1642,2016,65,l,38
1643,2016,65,l,20
1644,2016,65,l,20
1645,2016,65,l,60
1646,2016,65,l,50
1647,2016,65,l,25
1648,2016,10,h,40
1649,2016,65,l,30
1650,2016,65,l,30
1651,2016,65,l,15
1701,2017,65,l,50
1702,2017,65,l,80
1703,2017,10,h,15
1704,2017,10,h,20
1705,2017,65,l,30
1706,2017,65,l,60
1707,2017,10,l,1
1708,2017,10,h,95
1709,2017,10,h,20
1710,2017,65,l,40
1711,2017,10,l,5
1712,2017,10,h,15
1713,2017,10,h,45
1714,2017,65,l,5
1715,2017,65,h,70
1716,2017,10,h,25
1717,2017,65,l,35
1718,2017,10,l,5
1719,2017,10,h,20
1720,2017,65,l,75
1721,2017,10,l,7
1722,2017,65,l,40
1723,2017,10,l,5
1724,2017,65,l,25
1725,2017,10,h,25
1726,2017,65,l,43
1727,2017,10,h,20
1728,2017,65,h,20
1729,2017,10,l,5
1730,2017,65,l,25
1731,2017,10,l,0
1732,2017,65,l,55
1733,2017,10,h,17
1734,2017,65,l,28
1735,2017,10,h,25
1736,2017,65,l,35
1737,2017,10,h,20
1738,2017,65,l,18
1739,2017,10,h,85
1740,2017,65,l,20
1741,2017,65,l,NA
1742,2017,10,h,63
1743,2017,10,h,30
1744,2017,65,l,15
