year,sex,winner,age
1967,M,Paul Scofield,45
1968,M,Rod Steiger,42
1969,M,Cliff Robertson,45
1970,M,John Wayne,62
1971,M,George C. Scott,43
1972,M,Gene Jackman,42
1973,M,Marlon Brando,48
1974,M,Jack Lemmon,49
1975,M,Art Carney,56
1976,M,Jack Nicholson,38
1977,M,Peter Finch,60
1978,M,Richard Dreyfuss,30
1979,M,Jon Voight,40
1980,M,Dustin Hoffman,42
1981,M,Robert De Niro,37
1982,M,Henry Fonda,76
1983,M,Ben Kingsley,39
1984,M,Robert Duvall,53
1985,M,F. Murray Abraham,45
1986,M,William Hurt,36
1987,M,Paul Newman,62
1988,M,Michael Douglas,43
1989,M,Dustin Hoffman,51
1991,M,Jeremy Irons,42
1992,M,Anthony Hopkins,54
1993,M,Al Pacino,52
1994,M,Tom Hanks,37
1995,M,Tom Hanks,38
1996,M,Nicolas Cage,32
1997,M,Geoffrey Rush,45
1998,M,Jack Nicholson,60
1999,M,Roberto Benigni,46
2000,M,Kevin Spacey,40
2001,M,Russell Crowe,36
2002,M,Denzel Washington,47
2003,M,Adrien Brody,29
2004,M,Sean Penn,43
2005,M,Jamie Foxx,37
2006,M,Philip Seymour Hoffman,38
2007,M,Forest Whitaker,45
2008,M,Daniel Day-Lewis,50
2009,M,Sean Penn,48
2010,M,Jeff Bridges,60
2011,M,Colin Firth,50
2012,M,Jean Dujardin,39
2013,M,Daniel Day-Lewis,55
2014,M,Matthew McConaughey,44
2015,M,Eddie Redmayne,33
2016,M,Leonardo DiCaprio,41
2017,M,Casey Affleck,41
1967,F,Elizabeth Taylor,35
1968,F,Katharine Hepburn,60
1969,F,Katharine Hepburn,61
1970,F,Maggie Smith,35
1971,F,Glenda Jackson,34
1972,F,Jane Fonda,34
1973,F,Liza Minnelli,27
1974,F,Glenda Jackson,37
1975,F,Ellen Burstyn,42
1976,F,Louise Fletcher,41
1977,F,Faye Dunaway,36
1978,F,Diane Keaton,32
1979,F,Jane Fonda,41
1980,F,Sally Field,33
1981,F,Sissy Spacek,31
1982,F,Katharine Hepburn,74
1983,F,Meryl Streep,33
1984,F,Shirley MacLaine,49
1985,F,Sally Field,38
1986,F,Geraldine Page,61
1987,F,Marlee Matlin,21
1988,F,Cher,41
1989,F,Jodie Foster,26
1991,F,Kathy Bates,42
1992,F,Jodie Foster,29
1993,F,Emma Thompson,33
1994,F,Holly Hunter,36
1995,F,Jessica Lange,45
1996,F,Susan Sarandon,49
1997,F,Frances McDormand,39
1998,F,Helen Hunt,34
1999,F,Gwyneth Paltrow,26
2000,F,Hilary Swank,25
2001,F,Julia Roberts,33
2002,F,Halle Berry,35
2003,F,Nicole Kidman,35
2004,F,Charlize Theron,28
2005,F,Hilary Swank,30
2006,F,Reese Witherspoon,29
2007,F,Helen Mirren,61
2008,F,Marion Cotillard,32
2009,F,Kate Winslet,33
2010,F,Sandra Bullock,45
2011,F,Natalie Portman,29
2012,F,Meryl Streep,62
2013,F,Jennifer Lawrence,22
2014,F,Cate Blanchett,44
2015,F,Julianne Moore,54
2016,F,Brie Larson,26
2017,F,Emma Stone,28
